run_started_at_utc,reference_number,organization_value,title,status,inserted_rows,error_message
2026-03-08T20:05:19.067857+00:00,26SYMV018318646,ΔΗΜΟΣ ΑΜΟΡΓΟΥ,ΣΥΜΒΑΣΗ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ ΔΑΣΟΛΟΓΟΥ,no_findings,0,
2026-03-08T20:05:19.067857+00:00,26SYMV018330774,ΔΗΜΟΣ ΔΡΑΜΑΣ,ΣΥΜΦΩΝΗΤΙΚΟ -ΤΜΗΜΑ ΣΤ. ΕΡΓΑΣΙΕΣ ΚΟΠΗΣ ΠΑΡΟΔΙΑΣ ΒΛΑΣΤΗΣΗΣ ME ΚΑΤΑΛΛΗΛΟ ΜΗΧΑΝΗΜΑ ΕΡΓΟΥ ΦΟΡΤΩΤΗ ΕΚΣΚΑΦΕ,success,1,
2026-03-08T20:05:19.067857+00:00,26SYMV018338969,ΔΗΜΟΣ ΠΑΙΟΝΙΑΣ,"ΠΡΟΜΗΘΕΙΑΣ ΕΞΟΠΛΙΣΜΟΥ ΓΙΑ ΤΗΝ ΑΝΑΒΑΘΜΙΣΗ ΤΩΝ ΙΚΑΝΟΤΗΤΩΝ ΠΑΡΑΚΟΛΟΥΘΗΣΗΣ, ΠΡΟΛΗΨΗΣ ΚΑΙ ΑΝΤΑΠΟΚΡΙΣΗΣ ΕΝ",no_findings,0,
2026-03-08T20:05:19.067857+00:00,26SYMV018350351,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΣΥΜΒΑΣΗ ΜΙΣΘΩΣΗΣ ΜΗΧΑΝΗΜΑΤΩΝ ΕΡΓΩΝ ΚΑΙ ΑΝΑΘΕΣΗ ΕΚΤΕΛΕΣΗΣ ΕΡΓΑΣΙΩΝ «ΔΡΑΣΕΙΣ ΠΡΟΛΗΨΗΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ,no_findings,0,
2026-03-08T20:05:19.067857+00:00,26SYMV018350408,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΣΥΜΒΑΣΗ ΜΙΣΘΩΣΗΣ ΜΗΧΑΝΗΜΑΤΩΝ ΕΡΓΩΝ ΚΑΙ ΑΝΑΘΕΣΗ ΕΚΤΕΛΕΣΗΣ ΕΡΓΑΣΙΩΝ «ΔΡΑΣΕΙΣ ΠΡΟΛΗΨΗΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ,no_findings,0,
2026-03-08T20:05:19.067857+00:00,26SYMV018363393,ΔΗΜΟΣ ΑΜΥΝΤΑΙΟΥ,Προμήθεια εξοπλισμού για την υλοποίηση των μέτρων πυροπροστασίας του Παιδικού Σταθμού ΔΚ Φιλώτα του,success,1,
2026-03-08T20:05:19.067857+00:00,26SYMV018396529,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,"Σύμβαση για τη διάθεση αντλητικών στη ΔΙΔΙΜΥ, από 26-01-2026",no_findings,0,
2026-03-08T20:05:19.067857+00:00,26SYMV018399948,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,Διάθεση αντλητικών συγκροτημάτων στη ΔΙΔΙΜΥ και στη ΔΤΕ ΠΕΔΑ από 21.01.2026,no_findings,0,
2026-03-08T20:05:19.067857+00:00,26SYMV018400084,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,Διάθεση αντλητικών στη ΔΙΔΙΜΥ και στη ΔΤΕ ΠΕΔΑ από 21-01-2026,no_findings,0,
2026-03-08T20:05:19.067857+00:00,26SYMV018400235,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,Διάθεση αντλητικών από 21-01-2026,no_findings,0,
