incident_key,first_seen_at,last_seen_at,is_current,category,region,regional_unit,municipality_key,municipality_normalized_value,municipality_raw,fuel_type,start_date,days_burning,status_updated_at,status,raw,lat,lon,formatted_address,place_id,geocode_query,geocoded_at,source,source_account,source_post_id,source_url,source_location,notices_112_json
0b25542a0486676153d2,2026-04-21T09:44:50+00:00,2026-04-21T12:39:32+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,,9165,ΔΕΛΦΩΝ,ΔΕΛΦΩΝ - ΙΤΕΑΣ,ΓΕΩΡΓΙΚΗ ΕΚΤΑΣΗ,,,2026-04-21T10:39:32+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ Δ. ΔΕΛΦΩΝ - ΙΤΕΑΣ ΓΕΩΡΓΙΚΗ ΕΚΤΑΣΗ Τελευταία Ενημέρωση πριν από 2 ώρες,,,,,,,fireservice_live_page,,,,,[]
5d479c4349687ca7b151,2026-04-21T09:44:50+00:00,2026-04-21T20:30:53+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,,9160,ΛΑΜΙΕΩΝ,ΛΑΜΙΕΩΝ - ΛΑΜΙΕΩΝ,ΥΠΟΛΕΙΜΜΑΤΑ ΚΑΛΛΙΕΡΓΕΙΩΝ,,,2026-04-21T10:30:53+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ Δ. ΛΑΜΙΕΩΝ - ΛΑΜΙΕΩΝ ΥΠΟΛΕΙΜΜΑΤΑ ΚΑΛΛΙΕΡΓΕΙΩΝ Τελευταία Ενημέρωση πριν από 10 ώρες,,,,,,,fireservice_live_page,,,,,[]
aecb91ccd1c701e25d4c,2026-04-21T09:44:50+00:00,2026-04-21T09:44:50+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,,9138,ΖΑΧΑΡΩΣ,ΖΑΧΑΡΩΣ - ΖΑΧΑΡΩΣ,ΚΑΛΑΜΙΑ - ΒΑΛΤΟΙ,2026-04-21,1,2026-04-21T09:40:50+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ Δ. ΖΑΧΑΡΩΣ - ΖΑΧΑΡΩΣ ΚΑΛΑΜΙΑ - ΒΑΛΤΟΙ ΕΝΑΡΞΗ 21/04/2026 Τελευταία Ενημέρωση πριν από 4 λεπτά,,,,,,,fireservice_live_page,,,,,[]
939b78e16860ca38ee7d,2026-04-21T10:15:16+00:00,2026-04-23T20:36:54+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,,9138,ΖΑΧΑΡΩΣ,ΖΑΧΑΡΩΣ - ΦΙΓΑΛΕΙΑΣ,ΔΑΣΙΚΗ ΕΚΤΑΣΗ,2026-04-21,3,2026-04-23T18:36:54+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ Δ. ΖΑΧΑΡΩΣ - ΦΙΓΑΛΕΙΑΣ ΔΑΣΙΚΗ ΕΚΤΑΣΗ Τελευταία Ενημέρωση πριν από 2 ώρες,,,,,,,fireservice_live_page,,,,,[]
af9acb2f32f386a67fd8,2026-04-21T10:15:16+00:00,2026-04-21T11:27:21+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,,9013,ΝΕΣΤΟΥ,ΝΕΣΤΟΥ - ΧΡΥΣΟΥΠΟΛΗΣ,ΚΑΛΑΜΙΑ - ΒΑΛΤΟΙ,,,2026-04-21T10:43:21+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ Δ. ΝΕΣΤΟΥ - ΧΡΥΣΟΥΠΟΛΗΣ ΚΑΛΑΜΙΑ - ΒΑΛΤΟΙ Τελευταία Ενημέρωση πριν από 44 λεπτά,,,,,,,fireservice_live_page,,,,,[]
0b8f43049dce2fd2b87c,2026-04-21T10:26:17+00:00,2026-04-21T20:30:53+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΘΕΣΣΑΛΙΑΣ,,9105,ΒΟΛΟΥ,ΒΟΛΟΥ - ΝΕΑΣ ΙΩΝΙΑΣ,ΓΕΩΡΓΙΚΗ ΕΚΤΑΣΗ,,,2026-04-21T19:37:53+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ Δ. ΒΟΛΟΥ - ΝΕΑΣ ΙΩΝΙΑΣ ΓΕΩΡΓΙΚΗ ΕΚΤΑΣΗ Τελευταία Ενημέρωση πριν από 53 λεπτά,,,,,,,fireservice_live_page,,,,,[]
34bb61d527a6b31ec2f1,2026-04-21T10:26:17+00:00,2026-04-23T20:36:54+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΘΕΣΣΑΛΙΑΣ,,9110,ΣΚΙΑΘΟΥ,ΣΚΙΑΘΟΥ - ΣΚΙΑΘΟΥ,ΔΑΣΙΚΗ ΕΚΤΑΣΗ,2026-04-19,5,2026-04-23T09:36:54+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ Δ. ΣΚΙΑΘΟΥ - ΣΚΙΑΘΟΥ ΔΑΣΙΚΗ ΕΚΤΑΣΗ Τελευταία Ενημέρωση πριν από 11 ώρες,,,,,,,fireservice_live_page,,,,,[]
39955f0c668b53e3df8d,2026-04-21T10:26:17+00:00,2026-04-21T20:30:53+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,,9134,ΠΑΤΡΕΩΝ,ΠΑΤΡΕΩΝ - ΒΡΑΧΝΑΙΙΚΩΝ,ΚΑΛΑΜΙΑ - ΒΑΛΤΟΙ,,,2026-04-21T05:30:53+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ Δ. ΠΑΤΡΕΩΝ - ΒΡΑΧΝΑΙΙΚΩΝ ΚΑΛΑΜΙΑ - ΒΑΛΤΟΙ Τελευταία Ενημέρωση πριν από 15 ώρες,,,,,,,fireservice_live_page,,,,,[]
5fe4f82ee99097947da9,2026-04-21T10:26:17+00:00,2026-04-22T23:47:45+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΘΕΣΣΑΛΙΑΣ,,9107,ΝΟΤΙΟΥ ΠΗΛΙΟΥ,ΝΟΤΙΟΥ ΠΗΛΙΟΥ - ΑΦΕΤΩΝ,ΔΑΣΙΚΗ ΕΚΤΑΣΗ,2026-04-20,3,2026-04-22T23:35:45+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ Δ. ΝΟΤΙΟΥ ΠΗΛΙΟΥ - ΑΦΕΤΩΝ ΔΑΣΙΚΗ ΕΚΤΑΣΗ Τελευταία Ενημέρωση πριν από 12 λεπτά,,,,,,,fireservice_live_page,,,,,[]
9715ceba581795a60f7f,2026-04-21T10:26:17+00:00,2026-04-21T20:30:53+00:00,false,ΔΑΣΙΚΕΣ ΠΥΡΚΑΓΙΕΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,,9254,ΚΑΛΑΜΑΤΑΣ,ΚΑΛΑΜΑΤΑΣ - ΑΡΦΑΡΩΝ,ΥΠΟΛΕΙΜΜΑΤΑ ΚΑΛΛΙΕΡΓΕΙΩΝ,,,2026-04-21T09:30:53+00:00,ΛΗΞΗ,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ Δ. ΚΑΛΑΜΑΤΑΣ - ΑΡΦΑΡΩΝ ΥΠΟΛΕΙΜΜΑΤΑ ΚΑΛΛΙΕΡΓΕΙΩΝ Τελευταία Ενημέρωση πριν από 11 ώρες,,,,,,,fireservice_live_page,,,,,[]
